address,area,buildYear,date,floor,numOfRooms,price,pricePerMeter,size
שמחה 9,התקווה,1950,09/12/2014,1,2.5,"36,458","11,467",60
שמחה 9,התקווה,2014,09/12/2014,3,3,"200,000","23,456",109
בועז 3,התקווה,2000,07/12/2014,2,4,"950,000","10,333",81
"אצ""ל 11",התקווה,1950,07/12/2014,None,1.5,"200,000","14,600",30
נדב 10,התקווה,1970,07/12/2014,None,2,"690,000","14,583",50
"אצ""ל 28",התקווה,1950,03/12/2014,None,3,"281,667","18,409",60
רזי 3,התקווה,2014,02/12/2014,None,3,"93,889",None,44
רזי 3,התקווה,None,02/12/2014,None,None,"281,667",None,None
בועז 27,התקווה,None,02/12/2014,None,None,"400,000",None,None
אחיעזר 1,התקווה,None,27/11/2014,None,None,"400,000",None,None
רשף 8,התקווה,None,27/11/2014,None,None,"820,000",None,None
המכבש 10,התקווה,None,26/11/2014,None,None,"655,000",None,None
אחיעזר 1,התקווה,None,20/11/2014,None,None,"1,250,000",None,None
אחיעזר 1,התקווה,None,19/11/2014,None,None,"1,900,000",None,None
איתיאל 25,התקווה,None,18/11/2014,None,None,"310,000",None,None
אחיעזר 25,התקווה,None,18/11/2014,None,None,"730,000",None,None
אחיעזר,התקווה,None,17/11/2014,None,None,"875,000",None,None
"אצ""ל 72",התקווה,None,13/11/2014,None,None,"810,000",None,None
אחיעזר 1,התקווה,None,10/11/2014,None,None,"40,000",None,None
אחיעזר 3,התקווה,None,10/11/2014,None,None,"117,870",None,None
ששון 8,התקווה,None,05/11/2014,None,None,None,None,None
בר יוחאי 45,שפירא,1999,20/2/2012,7,1,"2,530,120","148,830",17
גולומב 57,שפירא,1999,14/2/2012,4,1,"21,667","29,347",23
"הראב""ע 25",שפירא,2012,14/2/2012,2,3,"675,000","22,351",54
ישראל מסלנט 18,שפירא,2012,07/2/2012,3,3,"670,000","19,229",61
הרצל 121,שפירא,1960,07/2/2012,2,3,"1,207,000","11,166",60
הרצל 21,שפירא,1939,07/2/2012,1,1,"1,173,000","19,600",25
האסיף 1,שפירא,1970,07/2/2012,1,3,"670,000","11,071",56
חכמי אתונה 22,שפירא,1956,05/2/2012,2,3,"490,000","16,521",46
המנור 14,שפירא,1960,22/1/2012,1,3,"620,000","15,678",83
המנור 20,שפירא,1952,22/1/2012,1,2,"620,000","17,068",58
המנור 20,שפירא,1950,22/1/2012,1,4,"56,563",250,120
לסקר 13,שפירא,1970,18/1/2012,2,2,"760,000","11,250",40
אבודרהם 1,שפירא,1961,16/1/2012,6,2,"1,301,300","18,902",41
שח''ל 8,שפירא,1979,16/1/2012,6,2,"1,301,300","5,000",75
שערי תשובה 34,שפירא,2011,16/1/2012,6,3,"1,524,000","13,709",62
שח''ל 8,שפירא,1935,16/1/2012,2,2,"1,301,303","134,210",38
שערי תשובה 34,שפירא,1935,16/1/2012,None,2,"762,000","127,500",40
אבודרהם 4,שפירא,1935,10/1/2012,None,1,"990,000","98,076",15
לסקר 10,שפירא,1935,08/1/2012,None,2.5,"30,000","11,363",52
בעל העקידה 1,שפירא,1970,04/1/2012,None,2,"450,000","3,750",110
קרשקש 18,שפירא,1950,04/1/2012,None,1,"700,000","18,875",16
קרשקש 18,שפירא,1970,04/1/2012,None,2,"700,000","16,000",40
ידעיה הפניני 1,שפירא,2012,01/1/2012,None,4,"775,000","14,545",100
שדרות חכמי ישראל 7,שפירא,2012,23/12/2011,None,2,"375,000","16,000",55
העמל 19,שפירא,2012,23/12/2011,None,2,"375,000","12,500",50
שח''ל 4,שפירא,1970,29/11/2011,None,2,"702,813","12,012",50
דרך שלמה 142,שפירא,1970,28/11/2011,None,3,"850,000","18,064",75
שערי תשובה 5,שפירא,1970,20/11/2011,None,2.5,"5,100,000",None,62
שערי תשובה 5,שפירא,None,20/11/2011,None,None,"5,100,000",None,None
שערי תשובה 13,שפירא,None,20/11/2011,None,None,"5,100,000",None,None
שערי תשובה 5,שפירא,None,20/11/2011,None,None,"5,100,000",None,None
שערי תשובה 5,שפירא,None,20/11/2011,None,None,"5,100,000",None,None
בעל העקידה 1,שפירא,None,15/11/2011,None,None,"1,250,000",None,None
ראשית חכמה 4,שפירא,None,15/11/2011,None,None,"60,000",None,None
גולומב 57,שפירא,None,14/11/2011,None,None,"195,000",None,None
גולומב 57,שפירא,None,12/11/2011,None,None,"195,000",None,None
גולומב 57,שפירא,None,12/11/2011,None,None,"520,000",None,None
גולומב 57,שפירא,None,12/11/2011,None,None,"195,000",None,None
גולומב 57,שפירא,None,12/11/2011,None,None,"21,667",None,None
ענתבי 18,שפירא,None,07/11/2011,None,None,"755,000",None,None
הרצל 111,שפירא,None,03/11/2011,None,None,"1,600,000",None,None
רשפים 13,התקווה,1960,23/6/2014,2,4,"833,330","9,259",90
הרצל 111,שפירא,None,02/11/2011,None,None,"800,000",None,None
הרצל 111,שפירא,None,02/11/2011,None,None,"800,000",None,None
קבוץ גלויות 115,שפירא,None,31/10/2011,None,None,"625,000",None,None
שיבת ציון 17,שפירא,None,09/10/2011,None,None,"900,900",None,None
כרם חמד 14,שפירא,None,06/10/2011,None,None,"1,124,500",None,None
כרם חמד 14,שפירא,None,06/10/2011,None,None,"1,120,000",None,None
כרם חמד 14,שפירא,None,06/10/2011,None,None,"1,124,493",None,None
"אצ""ל 72",התקווה,1950,22/6/2014,2,2,"8,000,000","14,166",50
אחיעזר 1,התקווה,1950,17/6/2014,1,3,"850,000","11,142",60
"אצ""ל 11",התקווה,1950,10/6/2014,1,3,"780,000","8,181",70
עזאי 63,התקווה,1950,02/6/2014,1,2,"450,000","17,666",55
